Year,Category,Nominee,Additional Info,Won
1993,Documentary,Beyond Imagining Margaret Anderson and the 'Little Review',NONE,No
1993,Documentary,Changing Our Minds The Story of Dr Evelyn Hooker,NONE,No
1993,Documentary,Educating Peter,NONE,No
1993,Documentary,Fires of Kuwait,NONE,No
1993,Documentary,Liberators Fighting on Two Fronts in World War II,NONE,No
1993,Documentary,Score for the Movies Bernard Herrmann,NONE,No
1993,Documentary,The Colours of My Father A Portrait of Sam Borenstein,NONE,No
1993,Documentary,The Panama Deception,NONE,Yes
1993,Documentary,When Abortion Was Illegal Untold Stories,NONE,No
1993,Film Editing,A Few Good Men,NONE,No
1993,Film Editing,Basic Instinct,NONE,No
1993,Film Editing,The Crying Game,NONE,No
1993,Film Editing,The Player,NONE,No
1993,Film Editing,Unforgiven,NONE,Yes
1993,Foreign Language Film,A Place in the World,NONE,No
1993,Foreign Language Film,Close to Eden,NONE,No
1993,Foreign Language Film,Daens,NONE,No
1993,Foreign Language Film,Indochine,NONE,Yes
1993,Foreign Language Film,Schtonk!,NONE,No
1993,Production Design,Bram Stoker's Dracula,NONE,No
1993,Production Design,Chaplin,NONE,No
1993,Production Design,Howards End,NONE,Yes
1993,Production Design,Toys,NONE,No
1993,Production Design,Unforgiven,NONE,No
1993,Score,A River Runs through It,NONE,No
1993,Score,Aladdin,NONE,Yes
1993,Score,Basic Instinct,NONE,No
1993,Score,Chaplin,NONE,No
1993,Score,Howards End,NONE,No
1993,Score,The Bodyguard,The Bodyguard,No
1993,Score,The Bodyguard,The Bodyguard,No
1993,Score,The Mambo Kings,The Mambo Kings,No
1993,Screenplay - Adapted,A River Runs through It,NONE,No
1993,Screenplay - Adapted,Enchanted April,NONE,No
1993,Screenplay - Adapted,Howards End,NONE,Yes
1993,Screenplay - Adapted,Scent of a Woman,NONE,No
1993,Screenplay - Adapted,The Player,NONE,No
1993,Screenplay - Original,Husbands and Wives,NONE,No
1993,Screenplay - Original,Lorenzo's Oil,NONE,No
1993,Screenplay - Original,Passion Fish,NONE,No
1993,Screenplay - Original,The Crying Game,NONE,Yes
1993,Screenplay - Original,Unforgiven,NONE,No
1993,Song,A Whole New World,Aladdin,Yes
1993,Song,Friend Like Me,Aladdin,No
1993,Visual Effects,Alien 3,NONE,No
1993,Visual Effects,Batman Returns,NONE,No
1993,Visual Effects,Death Becomes Her,NONE,Yes
1993,Z Filler Data,Z Filler Data,NONE,No
1994,AA Filler Data,AA Filler Data,NONE,No
1994,Actor - Leading Role,Anthony Hopkins,The Remains of the Day,No
1994,Actor - Leading Role,Daniel Day Lewis,In the Name of the Father,No
1994,Actor - Leading Role,Laurence Fishburne,What's Love Got to Do with It,No
1994,Actor - Leading Role,Liam Neeson,Schindler's List,No
1994,Actor - Leading Role,Tom Hanks,Philadelphia,Yes
1994,Actor - Supporting Role,John Malkovich,In the Line of Fire,No
1994,Actor - Supporting Role,Leonardo DiCaprio,What's Eating Gilbert Grape,No
1994,Actor - Supporting Role,Pete Postlethwaite,In the Name of the Father,No
1994,Actor - Supporting Role,Ralph Fiennes,Schindler's List,No
1994,Actor - Supporting Role,Tommy Lee Jones,The Fugitive,Yes
1994,Actress - Leading Role,Angela Bassett,What's Love Got to Do with It,No
1994,Actress - Leading Role,Debra Winger,Shadowlands,No
1994,Actress - Leading Role,Emma Thompson,The Remains of the Day,No
1994,Actress - Leading Role,Holly Hunter,The Piano,Yes
1994,Actress - Leading Role,Stockard Channing,Six Degrees of Separation,No
1994,Actress - Supporting Role,Anna Paquin,The Piano,Yes
1994,Actress - Supporting Role,Emma Thompson,In the Name of the Father,No
1994,Actress - Supporting Role,Holly Hunter,The Firm,No
1994,Actress - Supporting Role,Rosie Perez,Fearless,No
1994,Actress - Supporting Role,Winona Ryder,The Age of Innocence,No
1994,Best Picture,In the Name of the Father,NONE,No
1994,Best Picture,Schindler's List,NONE,Yes
1994,Best Picture,The Fugitive,NONE,No
1994,Best Picture,The Piano,NONE,No
1994,Best Picture,The Remains of the Day,NONE,No
1994,Cinematography,Farewell My Concubine,NONE,No
1994,Cinematography,Schindler's List,NONE,Yes
1994,Cinematography,Searching for Bobby Fischer,NONE,No
1994,Cinematography,The Fugitive,NONE,No
1994,Cinematography,The Piano,NONE,No
1994,Costume Design,Orlando,NONE,No
1994,Costume Design,Schindler's List,NONE,No
1994,Costume Design,The Age of Innocence,NONE,Yes
1994,Costume Design,The Piano,NONE,No
1994,Costume Design,The Remains of the Day,NONE,No
1994,Director,In the Name of the Father,NONE,No
1994,Director,Schindler's List,NONE,Yes
1994,Director,Short Cuts,NONE,No
1994,Director,The Piano,NONE,No
1994,Director,The Remains of the Day,NONE,No
1994,Documentary,Blood Ties The Life and Work of Sally Mann,NONE,No
1994,Documentary,Chicks in White Satin,NONE,No
1994,Documentary,Children of Fate,NONE,No
1994,Documentary,Defending Our Lives,NONE,No
1994,Documentary,For Better or for Worse,NONE,No
1994,Documentary,I Am a Promise The Children of Stanton Elementary School,NONE,Yes
1994,Documentary,The Broadcast Tapes of Dr Peter,NONE,No
1994,Documentary,The War Room,NONE,No
1994,Film Editing,In the Line of Fire,NONE,No
1994,Film Editing,In the Name of the Father,NONE,No
1994,Film Editing,Schindler's List,NONE,Yes
1994,Film Editing,The Fugitive,NONE,No
1994,Film Editing,The Piano,NONE,No
1994,Foreign Language Film,Belle Epoque,NONE,Yes
1994,Foreign Language Film,Farewell My Concubine,NONE,No
1994,Foreign Language Film,Hedd Wyn,NONE,No
1994,Foreign Language Film,The Scent of Green Papaya,NONE,No
1994,Foreign Language Film,The Wedding Banquet,NONE,No
1994,Production Design,Addams Family Values,NONE,No
1994,Production Design,Orlando,NONE,No
1994,Production Design,Schindler's List,NONE,Yes
1994,Production Design,The Age of Innocence,NONE,No
1994,Production Design,The Remains of the Day,NONE,No
1994,Score,Schindler's List,NONE,Yes
1994,Score,The Age of Innocence,NONE,No
1994,Score,The Firm,NONE,No
1994,Score,The Fugitive,NONE,No
1994,Score,The Remains of the Day,NONE,No
1994,Screenplay - Adapted,In the Name of the Father,NONE,No
1994,Screenplay - Adapted,Schindler's List,NONE,Yes
1994,Screenplay - Adapted,Shadowlands,NONE,No
1994,Screenplay - Adapted,The Age of Innocence,NONE,No
1994,Screenplay - Adapted,The Remains of the Day,NONE,No
1994,Screenplay - Original,Dave,NONE,No
1994,Screenplay - Original,In the Line of Fire,NONE,No
1994,Screenplay - Original,Philadelphia,NONE,No
1994,Screenplay - Original,Sleepless in Seattle,NONE,No
1994,Screenplay - Original,The Piano,NONE,Yes
1994,Song,A Wink and a Smile,Sleepless in Seattle,No
1994,Song,Again,Poetic Justice,No
1994,Song,Philadelphia,Philadelphia,No
1994,Song,Streets of Philadelphia,Philadelphia,Yes
1994,Song,The Day I Fall in Love,Beethoven's 2nd,No
1994,Visual Effects,Cliffhanger,NONE,No
1994,Visual Effects,Jurassic Park,NONE,Yes
1994,Visual Effects,The Nightmare before Christmas,NONE,No
1994,Z Filler Data,Z Filler Data,NONE,No
1995,AA Filler Data,AA Filler Data,NONE,No
1995,Actor - Leading Role,John Travolta,Pulp Fiction,No
1995,Actor - Leading Role,Morgan Freeman,The Shawshank Redemption,No
