Year,Award,Name,Issuer
2005,Actor - Supporting Role,Thomas Haden Church,Boston Film Critics
2005,Actor - Supporting Role,Thomas Haden Church,Critics Choice
2005,Actor - Supporting Role,Thomas Haden Church,LA Film Critics
2005,Actor - Supporting Role,Thomas Haden Church,San Francisco Critics
2005,Actress - Leading Role,Annette Bening,Golden Globes-Musical or Comedy
2005,Actress - Leading Role,Hilary Swank,Boston Film Critics
2005,Actress - Leading Role,Hilary Swank,Critics Choice
2005,Actress - Leading Role,Hilary Swank,Golden Globes-Drama
2005,Actress - Leading Role,Hilary Swank,Screen Actors Guild
2005,Actress - Leading Role,Imelda Staunton,DC Film Critics
2005,Actress - Leading Role,Imelda Staunton,LA Film Critics
2005,Actress - Leading Role,Imelda Staunton,New York Film Critics
2005,Actress - Leading Role,Julie Delpy,San Francisco Critics
2005,Actress - Leading Role,Kate Winslet,Las Vegas Critics
2005,Actress - Supporting Role,Cate Blanchett,DC Film Critics
2005,Actress - Supporting Role,Cate Blanchett,Las Vegas Critics
2005,Actress - Supporting Role,Natalie Portman,Golden Globes
2005,Actress - Supporting Role,Sharon Warren,Boston Film Critics
2005,Actress - Supporting Role,Virginia Madison,Critics Choice
2005,Actress - Supporting Role,Virginia Madison,San Francisco Critics
2005,Actress - Supporting Role,Virginia Madsen,LA Film Critics
2005,Actress - Supporting Role,Virginia Madsen,New York Film Critics
2005,Animated Feature,The Incredibles,Critics Choice
2005,Animated Feature,The Incredibles,DC Film Critics
2005,Animated Feature,The Incredibles,LA Film Critics
2005,Animated Feature,The Incredibles,Las Vegas Critics
2005,Animated Feature,The Incredibles,New York Film Critics
2005,Best Picture,Eternal Sunshine of the Spotless Mind,DC Film Critics
2005,Best Picture,Sideways,Boston Film Critics
2005,Best Picture,Sideways,Critics Choice
2005,Best Picture,Sideways,Golden Globes-Musical or Comedy
2005,Best Picture,Sideways,LA Film Critics
2005,Best Picture,Sideways,New York Film Critics
2005,Best Picture,Sideways,New York Film Critics
2005,Best Picture,Sideways,San Francisco Critics
2005,Best Picture,The Aviator,Golden Globes-Drama
2005,Best Picture,The Aviator,Las Vegas Critics
2005,Best Picture,The Aviator,Producers Guild
2005,Cinematography,Collateral,LA Film Critics
2005,Cinematography,Hero,New York Film Critics
2005,Cinematography,House of Flying Daggers,Boston Film Critics
2005,Cinematography,The Aviator,Las Vegas Critics
2005,Costume Design,The Aviator,Las Vegas Critics
2005,Director,Eternal Sunshine of the Spotless Mind,DC Film Critics
2005,Director,House of Flying Daggers,Boston Film Critics
2005,Director,Million Dollar Baby,Directors Guild
2005,Director,Million Dollar Baby,Golden Globes
2005,Director,Million Dollar Baby,New York Film Critics
2005,Director,Sideways,LA Film Critics
2005,Director,Sideways,San Francisco Critics
2005,Director,The Aviator,Critics Choice
2005,Director,The Aviator,Las Vegas Critics
2005,Documentary,Born into Brothels,LA Film Critics
2005,Documentary,Fahrenheit 9/11,Critics Choice
2005,Documentary,Fahrenheit 9/11,DC Film Critics
2005,Documentary,Fahrenheit 9/11,Las Vegas Critics
2005,Documentary,Fahrenheit 9/11,New York Film Critics
2005,Documentary,Fahrenheit 9/11,San Francisco Critics
2005,Documentary,The Story of the Weeping Camel,Directors Guild
2005,Film Editing,The Aviator,Las Vegas Critics
2005,Foreign Language Film,Bad Education,New York Film Critics
2005,Foreign Language Film,House of Flying Daggers,Boston Film Critics
2005,Foreign Language Film,House of Flying Daggers,LA Film Critics
2005,Foreign Language Film,Maria Full of Grace,San Francisco Critics
2005,Foreign Language Film,The Sea Inside,Critics Choice
2005,Foreign Language Film,The Sea Inside,Golden Globes
2005,Foreign Language Film,Ying Xiong,Las Vegas Critics
2005,Production Design,The Aviator,LA Film Critics
2005,Production Design,The Aviator,Las Vegas Critics
2005,Score,The Aviator,Golden Globes
2005,Score,The Incredibles,LA Film Critics
2005,Score,The Incredibles,Las Vegas Critics
2005,Score,The Lord of the Rings The Return of the King,Critics Choice
2005,Screenplay - Adapted,Sideways,Boston Film Critics
2005,Screenplay - Adapted,Sideways,Critics Choice
2005,Screenplay - Adapted,Sideways,DC Film Critics
2005,Screenplay - Adapted,Sideways,Golden Globes
2005,Screenplay - Adapted,Sideways,LA Film Critics
2005,Screenplay - Adapted,Sideways,New York Film Critics
2005,Screenplay - Adapted,Sideways,San Francisco Critics
2005,Screenplay - Adapted,Sideways,Writers Guild
2005,Screenplay - Original,Eternal Sunshine of the Spotless Mind,DC Film Critics
2005,Screenplay - Original,Eternal Sunshine of the Spotless Mind,Las Vegas Critics
2005,Screenplay - Original,Eternal Sunshine of the Spotless Mind,Writers Guild
2005,Song,Old Habbits Die Hard,Las Vegas Critics
2005,Visual Effects,Harry Potter and the Prisoner of Azkaban,Visual Effects Society
2005,Visual Effects,Sky Captain and the World of Tomorrow,Las Vegas Critics
2005,Z Filler Data,Z Filler Data,Z Filler Data
2006,AA Filler Data,AA Filler Data,AA Filler Data
2006,Actor - Leading Role,Heath Ledger,Las Vegas Critics
2006,Actor - Leading Role,Heath Ledger,New York Film Critics
2006,Actor - Leading Role,Heath Ledger,San Francisco Critics
2006,Actor - Leading Role,Joaquin Phoenix,Golden Globes-Musical or Comedy
2006,Actor - Leading Role,Phillip Seymour Hoffman,Boston Film Critics
2006,Actor - Leading Role,Phillip Seymour Hoffman,Critics Choice
2006,Actor - Leading Role,Phillip Seymour Hoffman,DC Film Critics
2006,Actor - Leading Role,Phillip Seymour Hoffman,Golden Globes-Drama
2006,Actor - Leading Role,Phillip Seymour Hoffman,LA Film Critics
2006,Actor - Leading Role,Phillip Seymour Hoffman,Screen Actors Guild
2006,Actor - Supporting Role,George Clooney,Golden Globes
2006,Actor - Supporting Role,Kevin Costner,San Francisco Critics
2006,Actor - Supporting Role,Matt Dilon,Las Vegas Critics
2006,Actor - Supporting Role,Paul Giamatti,Boston Film Critics
2006,Actor - Supporting Role,Paul Giamatti,Critics Choice
2006,Actor - Supporting Role,Paul Giamatti,DC Film Critics
2006,Actor - Supporting Role,Paul Giamatti,Screen Actors Guild
2006,Actor - Supporting Role,William Hurt,LA Film Critics
2006,Actor - Supporting Role,William Hurt,New York Film Critics
2006,Actress - Leading Role,Felicity Huffman,Golden Globes-Drama
2006,Actress - Leading Role,Reese Witherspoon,Boston Film Critics
2006,Actress - Leading Role,Reese Witherspoon,Critics Choice
2006,Actress - Leading Role,Reese Witherspoon,DC Film Critics
2006,Actress - Leading Role,Reese Witherspoon,Golden Globes-Musical or Comedy
2006,Actress - Leading Role,Reese Witherspoon,Las Vegas Critics
2006,Actress - Leading Role,Reese Witherspoon,New York Film Critics
2006,Actress - Leading Role,Reese Witherspoon,San Francisco Critics
2006,Actress - Leading Role,Reese Witherspoon,Screen Actors Guild
2006,Actress - Leading Role,Vera Farmiga,LA Film Critics
2006,Actress - Supporting Role,Amy Adams,DC Film Critics
2006,Actress - Supporting Role,Amy Adams,San Francisco Critics
2006,Actress - Supporting Role,Catherine Keener,Boston Film Critics
2006,Actress - Supporting Role,Catherine Keener,LA Film Critics
2006,Actress - Supporting Role,Frances McDormand,Las Vegas Critics
2006,Actress - Supporting Role,Maria Bello,New York Film Critics
2006,Actress - Supporting Role,Michelle Williams,Critics Choice
2006,Actress - Supporting Role,Rachel Weisz,Golden Globes
2006,Animated Feature,Howl's Moving Castle,New York Film Critics
2006,Animated Feature,Wallace and Gromit in The Curse of the Were Rabbit,Critics Choice
2006,Animated Feature,Wallace and Gromit in The Curse of the Were Rabbit,DC Film Critics
2006,Animated Feature,Wallace and Gromit in The Curse of the Were Rabbit,LA Film Critics
2006,Animated Feature,Wallace and Gromit in The Curse of the Were Rabbit,Las Vegas Critics
2006,Animated Feature,Wallace and Gromit The Curse of the Were Rabbit,Producers Guild
2006,Best Picture,Brokeback Mountain,Boston Film Critics
2006,Best Picture,Brokeback Mountain,Critics Choice
2006,Best Picture,Brokeback Mountain,Golden Globes-Drama
2006,Best Picture,Brokeback Mountain,LA Film Critics
2006,Best Picture,Brokeback Mountain,Las Vegas Critics
2006,Best Picture,Brokeback Mountain,New York Film Critics
2006,Best Picture,Brokeback Mountain,New York Film Critics
2006,Best Picture,Brokeback Mountain,Producers Guild
2006,Best Picture,Brokeback Mountain,San Francisco Critics
2006,Best Picture,Munich,DC Film Critics
2006,Best Picture,Walk the Line,Golden Globes-Musical or Comedy
2006,Cinematography,2046,New York Film Critics
2006,Cinematography,Good Night and Good Luck,Boston Film Critics
2006,Cinematography,Good Night and Good Luck,LA Film Critics
2006,Cinematography,King Kong,Las Vegas Critics
2006,Costume Design,King Kong,Las Vegas Critics
2006,Director,Brokeback Mountain,Boston Film Critics
2006,Director,Brokeback Mountain,Critics Choice
2006,Director,Brokeback Mountain,Directors Guild
2006,Director,Brokeback Mountain,Golden Globes
2006,Director,Brokeback Mountain,LA Film Critics
2006,Director,Brokeback Mountain,Las Vegas Critics
2006,Director,Brokeback Mountain,New York Film Critics
2006,Director,Brokeback Mountain,San Francisco Critics
2006,Director,Munich,DC Film Critics
2006,Documentary,Enron The Smartest Guys in the Room,DC Film Critics
2006,Documentary,Grizzly Man,Directors Guild
2006,Documentary,Grizzly Man,LA Film Critics
2006,Documentary,Grizzly Man,San Francisco Critics
2006,Documentary,March of the Penguins,Critics Choice
2006,Documentary,March of the Penguins,Las Vegas Critics
2006,Documentary,The White Diamond,New York Film Critics
2006,Film Editing,King Kong,Las Vegas Critics
2006,Foreign Language Film,2046,New York Film Critics
2006,Foreign Language Film,Hidden,LA Film Critics
2006,Foreign Language Film,Hidden,San Francisco Critics
2006,Foreign Language Film,Kung Fu Hustle,Boston Film Critics
2006,Foreign Language Film,Kung Fu Hustle,Critics Choice
2006,Foreign Language Film,Kung Fu Hustle,Las Vegas Critics
2006,Foreign Language Film,Paradise Now,Golden Globes
2006,Production Design,2046,LA Film Critics
2006,Production Design,King Kong,Las Vegas Critics
2006,Production Design,The Chronicles of Narnia The Lion The Witch and the Wardrobe,DC Film Critics
2006,Score,Brokeback Mountain,Las Vegas Critics
2006,Score,Howl's Moving Castle,LA Film Critics
2006,Score,Memours in a Geisha,Golden Globes
2006,Score,The Aviator,Critics Choice
2006,Screenplay - Adapted,Brokeback Mountain,Golden Globes
2006,Screenplay - Adapted,Brokeback Mountain,Writers Guild
2006,Screenplay - Adapted,Capote,Boston Film Critics
2006,Screenplay - Adapted,Capote,DC Film Critics
2006,Screenplay - Adapted,Crash,Critics Choice
2006,Screenplay - Adapted,Crash,DC Film Critics
2006,Screenplay - Adapted,Crash,Las Vegas Critics
2006,Screenplay - Original,Crash,Writers Guild
2006,Screenplay - Original,Good Night and Good Luck,San Francisco Critics
2006,Screenplay - Original,The Squid and the Whale,LA Film Critics
2006,Screenplay - Original,The Squid and the Whale,New York Film Critics
2006,Song,Travelin Thru,Las Vegas Critics
2006,Visual Effects,King Kong,Las Vegas Critics
2006,Visual Effects,King Kong,Visual Effects Society
2006,Z Filler Data,Z Filler Data,Z Filler Data
2007,AA Filler Data,AA Filler Data,AA Filler Data
2007,Actor - Leading Role,Forest Whitaker,Boston Film Critics
2007,Actor - Leading Role,Forest Whitaker,Critics Choice
2007,Actor - Leading Role,Forest Whitaker,DC Film Critics
2007,Actor - Leading Role,Forest Whitaker,Golden Globes-Drama
2007,Actor - Leading Role,Forest Whitaker,LA Film Critics
2007,Actor - Leading Role,Forest Whitaker,Las Vegas Critics
2007,Actor - Leading Role,Forest Whitaker,New York Film Critics
2007,Actor - Leading Role,Forest Whitaker,Screen Actors Guild
2007,Actor - Leading Role,Sacha Baron Cohen,Golden Globes-Musical or Comedy
2007,Actor - Leading Role,Sacha Baron Cohen,San Francisco Critics
2007,Actor - Supporting Role,Djimon Jounsou,DC Film Critics
2007,Actor - Supporting Role,Djimon Jounsou,Las Vegas Critics
2007,Actor - Supporting Role,Eddie Murphy,Critics Choice
2007,Actor - Supporting Role,Eddie Murphy,Golden Globes
2007,Actor - Supporting Role,Eddie Murphy,Screen Actors Guild
2007,Actor - Supporting Role,Jackie Earle Haley,San Francisco Critics
2007,Actor - Supporting Role,Jackie Earle Harley,New York Film Critics
2007,Actor - Supporting Role,Mark Wahlberg,Boston Film Critics
2007,Actor - Supporting Role,Michael Sheen,LA Film Critics
2007,Actress - Leading Role,Helen Mirren,Boston Film Critics
2007,Actress - Leading Role,Helen Mirren,Critics Choice
2007,Actress - Leading Role,Helen Mirren,DC Film Critics
2007,Actress - Leading Role,Helen Mirren,Golden Globes-Drama
2007,Actress - Leading Role,Helen Mirren,LA Film Critics
2007,Actress - Leading Role,Helen Mirren,Las Vegas Critics
2007,Actress - Leading Role,Helen Mirren,New York Film Critics
2007,Actress - Leading Role,Helen Mirren,San Francisco Critics
2007,Actress - Leading Role,Helen Mirren,Screen Actors Guild
2007,Actress - Leading Role,Meryl Streep,Golden Globes-Musical or Comedy
2007,Actress - Supporting Role,Adriana Barraza,San Francisco Critics
2007,Actress - Supporting Role,Jennifer Hudson,Critics Choice
2007,Actress - Supporting Role,Jennifer Hudson,DC Film Critics
2007,Actress - Supporting Role,Jennifer Hudson,Golden Globes
2007,Actress - Supporting Role,Jennifer Hudson,Las Vegas Critics
2007,Actress - Supporting Role,Jennifer Hudson,New York Film Critics
2007,Actress - Supporting Role,Luminita Gheorghiu,LA Film Critics
2007,Actress - Supporting Role,Shareeka Epps,Boston Film Critics
2007,Animated Feature,Cars,Critics Choice
2007,Animated Feature,Cars,Golden Globes
2007,Animated Feature,Happy Feet,DC Film Critics
2007,Animated Feature,Happy Feet,LA Film Critics
2007,Animated Feature,Happy Feet,New York Film Critics
2007,Animated Feature,Monzter House,Las Vegas Critics
2007,Best Picture,Babel,Golden Globes-Drama
2007,Best Picture,Dreamgirls,Golden Globes-Musical or Comedy
2007,Best Picture,Letters from Iwo Jima,LA Film Critics
2007,Best Picture,Little Children,San Francisco Critics
2007,Best Picture,Little Miss Sunshine,Producers Guild
2007,Best Picture,The Departed,Boston Film Critics
2007,Best Picture,The Departed,Critics Choice
2007,Best Picture,The Departed,Las Vegas Critics
2007,Best Picture,United 93,DC Film Critics
2007,Best Picture,United 93,New York Film Critics
2007,Best Picture,United 93,New York Film Critics
2007,Cinematography,Children of Men,LA Film Critics
2007,Cinematography,Children of Men,Las Vegas Critics
2007,Cinematography,Pan's Labyrinth,Boston Film Critics
2007,Cinematography,Pan's Labyrinth,New York Film Critics
2007,Costume Design,Marie Antoinette,Las Vegas Critics
2007,Director,The Departed,Boston Film Critics
2007,Director,The Departed,Critics Choice
2007,Director,The Departed,DC Film Critics
2007,Director,The Departed,Directors Guild
2007,Director,The Departed,Golden Globes
2007,Director,The Departed,Las Vegas Critics
2007,Director,The Departed,New York Film Critics
2007,Director,United 93,LA Film Critics
2007,Director,United 93,San Francisco Critics
2007,Documentary,An Inconvenient Truth,Critics Choice
2007,Documentary,An Inconvenient Truth,DC Film Critics
2007,Documentary,An Inconvenient Truth,LA Film Critics
2007,Documentary,An Inconvenient Truth,Las Vegas Critics
2007,Documentary,An Inconvenient Truth,San Francisco Critics
2007,Documentary,Before Flying Back to Earth,Directors Guild
2007,Documentary,Deliver Us From Evil,New York Film Critics
2007,Film Editing,The Departed,Las Vegas Critics
2007,Foreign Language Film,Army of Shadows,New York Film Critics
2007,Foreign Language Film,Letters from Iwo Jima,Critics Choice
2007,Foreign Language Film,Letters from Iwo Jima,Golden Globes
2007,Foreign Language Film,Pan's Labyrinth,Boston Film Critics
2007,Foreign Language Film,Pan's Labyrinth,Las Vegas Critics
2007,Foreign Language Film,Pan's Labyrinth,San Francisco Critics
2007,Foreign Language Film,The Lives of Others,LA Film Critics
2007,Production Design,Marie Antoinette,DC Film Critics
2007,Production Design,Marie Antoinette,Las Vegas Critics
2007,Production Design,Pan's Labyrinth,LA Film Critics
2007,Score,Memours in a Geisha,Critics Choice
2007,Score,The Good German,Las Vegas Critics
2007,Score,The Panted Veil,Golden Globes
2007,Score,The Queen,LA Film Critics
2007,Screenplay - Adapted,Brick,San Francisco Critics
2007,Screenplay - Adapted,Little Children,San Francisco Critics
2007,Screenplay - Adapted,Thank You For Smoking,DC Film Critics
2007,Screenplay - Adapted,Thank You For Smoking,Las Vegas Critics
2007,Screenplay - Adapted,The Departed,Boston Film Critics
2007,Screenplay - Adapted,The Departed,Writers Guild
2007,Screenplay - Original,Little Children,Critics Choice
2007,Screenplay - Original,Little Miss Sunshine,DC Film Critics
2007,Screenplay - Original,Little Miss Sunshine,Writers Guild
2007,Screenplay - Original,The Queen,Golden Globes
2007,Screenplay - Original,The Queen,LA Film Critics
2007,Screenplay - Original,The Queen,New York Film Critics
2007,Song,Ordinary Mircle,Las Vegas Critics
2007,Visual Effects,Pirates of the Caribbean Dead Man's Chest,Visual Effects Society
2007,Z Filler Data,Z Filler Data,Z Filler Data
2008,AA Filler Data,AA Filler Data,AA Filler Data
2008,Actor - Leading Role,Daniel Day Lewis,Critics Choice
2008,Actor - Leading Role,Daniel Day Lewis,Golden Globes-Drama
2008,Actor - Leading Role,Daniel Day Lewis,Houston Critics
2008,Actor - Leading Role,Daniel Day Lewis,LA Film Critics
2008,Actor - Leading Role,Daniel Day Lewis,Las Vegas Critics
2008,Actor - Leading Role,Daniel Day Lewis,New York Film Critics
2008,Actor - Leading Role,Daniel Day Lewis,Screen Actors Guild
2008,Actor - Leading Role,Frank Langella,Boston Film Critics
2008,Actor - Leading Role,George Clooney,DC Film Critics
2008,Actor - Leading Role,George Clooney,San Francisco Critics
2008,Actor - Leading Role,Johnny Depp,Golden Globes-Musical or Comedy
2008,Actor - Supporting Role,Casey Affleck,San Francisco Critics
2008,Actor - Supporting Role,Javier Bardem,Boston Film Critics
2008,Actor - Supporting Role,Javier Bardem,Critics Choice
2008,Actor - Supporting Role,Javier Bardem,DC Film Critics
2008,Actor - Supporting Role,Javier Bardem,Golden Globes
2008,Actor - Supporting Role,Javier Bardem,Houston Critics
2008,Actor - Supporting Role,Javier Bardem,Las Vegas Critics
2008,Actor - Supporting Role,Javier Bardem,New York Film Critics
2008,Actor - Supporting Role,Javier Bardem,Screen Actors Guild
2008,Actor - Supporting Role,Vlad Ivanov,LA Film Critics
2008,Actress - Leading Role,Ellen Page,Las Vegas Critics
2008,Actress - Leading Role,Julie Christie,Critics Choice
2008,Actress - Leading Role,Julie Christie,DC Film Critics
2008,Actress - Leading Role,Julie Christie,Golden Globes-Drama
2008,Actress - Leading Role,Julie Christie,Houston Critics
2008,Actress - Leading Role,Julie Christie,New York Film Critics
2008,Actress - Leading Role,Julie Christie,San Francisco Critics
2008,Actress - Leading Role,Julie Christie,Screen Actors Guild
2008,Actress - Leading Role,Marion Cotillard,Boston Film Critics
2008,Actress - Leading Role,Marion Cotillard,Golden Globes-Musical or Comedy
2008,Actress - Leading Role,Marion Cotillard,LA Film Critics
2008,Actress - Supporting Role,Amy Ryan,Boston Film Critics
2008,Actress - Supporting Role,Amy Ryan,Critics Choice
2008,Actress - Supporting Role,Amy Ryan,DC Film Critics
2008,Actress - Supporting Role,Amy Ryan,Houston Critics
2008,Actress - Supporting Role,Amy Ryan,LA Film Critics
2008,Actress - Supporting Role,Amy Ryan,New York Film Critics
2008,Actress - Supporting Role,Amy Ryan,San Francisco Critics
2008,Actress - Supporting Role,Cate Blanchett,Golden Globes
2008,Actress - Supporting Role,Cate Blanchett,Las Vegas Critics
2008,Animated Feature,Persepolis,New York Film Critics
2008,Animated Feature,Ratatouille,Critics Choice
2008,Animated Feature,Ratatouille,DC Film Critics
2008,Animated Feature,Ratatouille,Golden Globes
2008,Animated Feature,Ratatouille,LA Film Critics
2008,Animated Feature,Ratatouille,Las Vegas Critics
2008,Best Picture,Attonement,Golden Globes-Drama
2008,Best Picture,No Country for Old Men,Boston Film Critics
2008,Best Picture,No Country for Old Men,Critics Choice
2008,Best Picture,No Country for Old Men,DC Film Critics
2008,Best Picture,No Country for Old Men,Houston Critics
2008,Best Picture,No Country for Old Men,Las Vegas Critics
2008,Best Picture,No Country for Old Men,New York Film Critics
2008,Best Picture,No Country for Old Men,New York Film Critics
2008,Best Picture,No Country for Old Men,Producers Guild
2008,Best Picture,Sweeney Todd The Demon Barber of Fleet Street,Golden Globes-Musical or Comedy
2008,Best Picture,The Assassination of Jesse James by the Coward Robert Ford,San Francisco Critics
2008,Best Picture,There Will Be Blood,LA Film Critics
2008,Cinematography,The Assassination of Jesse James by the Coward Robert Ford,Houston Critics
2008,Cinematography,The Diving Bell and the Butterfly,Boston Film Critics
2008,Cinematography,The Diving Bell and the Butterfly,LA Film Critics
2008,Cinematography,There Will Be Blood,Las Vegas Critics
2008,Cinematography,There Will Be Blood,New York Film Critics
2008,Director,No Country for Old Men,Critics Choice
2008,Director,No Country for Old Men,DC Film Critics
2008,Director,No Country for Old Men,Directors Guild
2008,Director,No Country for Old Men,Las Vegas Critics
2008,Director,No Country for Old Men,New York Film Critics
2008,Director,No Country for Old Men,San Francisco Critics
2008,Director,Sweeney Todd The Demon Barber of Fleet Street,Houston Critics
2008,Director,The Diving Bell and the Butterfly,Boston Film Critics
2008,Director,The Diving Bell and the Butterfly,Golden Globes
2008,Director,There Wil be Blood,LA Film Critics
2008,Documentary,Ghosts of Cite Soleil,Directors Guild
2008,Documentary,No End in Sight,LA Film Critics
2008,Documentary,No End in Sight,New York Film Critics
2008,Documentary,No End in Sight,San Francisco Critics
2008,Documentary,Sicko,Critics Choice
2008,Documentary,Sicko,DC Film Critics
2008,Documentary,Sicko,Las Vegas Critics
2008,Film Editing,The Bourne Ultimatum,Las Vegas Critics
2008,Foreign Language Film,4 Months 3 Weeks and 2 Days,LA Film Critics
2008,Foreign Language Film,The Diving BelLAnd the Butterfly,Boston Film Critics
2008,Foreign Language Film,The Diving BelLAnd the Butterfly,Critics Choice
2008,Foreign Language Film,The Diving BelLAnd the Butterfly,Golden Globes
2008,Foreign Language Film,The Diving BelLAnd the Butterfly,Las Vegas Critics
2008,Foreign Language Film,The Diving BelLAnd the Butterfly,San Francisco Critics
2008,Foreign Language Film,The Lives of Others,New York Film Critics
2008,Production Design,Sweeney Todd The Demon Barber of Fleet Street,DC Film Critics
2008,Production Design,There Will Be Blood,LA Film Critics
2008,Score,Atonement,Golden Globes
2008,Score,Once,LA Film Critics
2008,Score,The Illusionist,Critics Choice
2008,Score,There Wil be Blood,Las Vegas Critics
2008,Screenplay - Adapted,Away From Her,San Francisco Critics
2008,Screenplay - Adapted,No Country for Old Men,Golden Globes
2008,Screenplay - Adapted,No Country for Old Men,New York Film Critics
2008,Screenplay - Adapted,No Country for Old Men,Writers Guild
2008,Screenplay - Original,Charlie Wilson's War,DC Film Critics
2008,Screenplay - Original,Juno,Critics Choice
2008,Screenplay - Original,Juno,DC Film Critics
2008,Screenplay - Original,Juno,Houston Critics
2008,Screenplay - Original,Juno,Las Vegas Critics
2008,Screenplay - Original,Juno,Writers Guild
2008,Screenplay - Original,Ratatouille,Boston Film Critics
2008,Screenplay - Original,The Savages,LA Film Critics
2008,Screenplay - Original,The Savages,San Francisco Critics
2008,Song,Walk Hard,Las Vegas Critics
2008,Z Filler Data,Z Filler Data,Z Filler Data
2009,AA Filler Data,AA Filler Data,AA Filler Data
2009,Actor - Leading Role,Colin Ferrell,Golden Globes-Musical or Comedy
2009,Actor - Leading Role,Frank Langella,Las Vegas Critics
2009,Actor - Leading Role,Mickey Rourke,DC Film Critics
2009,Actor - Leading Role,Mickey Rourke,Golden Globes-Drama
2009,Actor - Leading Role,Sean Penn,Boston Film Critics
2009,Actor - Leading Role,Sean Penn,Critics Choice
2009,Actor - Leading Role,Sean Penn,Houston Critics
2009,Actor - Leading Role,Sean Penn,LA Film Critics
2009,Actor - Leading Role,Sean Penn,New York Film Critics
2009,Actor - Leading Role,Sean Penn,San Francisco Critics
2009,Actor - Leading Role,Sean Penn,Screen Actors Guild
2009,Actor - Supporting Role,Heath Ledger,Boston Film Critics
2009,Actor - Supporting Role,Heath Ledger,Critics Choice
2009,Actor - Supporting Role,Heath Ledger,DC Film Critics
2009,Actor - Supporting Role,Heath Ledger,Golden Globes
2009,Actor - Supporting Role,Heath Ledger,Houston Critics
2009,Actor - Supporting Role,Heath Ledger,LA Film Critics
2009,Actor - Supporting Role,Heath Ledger,Las Vegas Critics
2009,Actor - Supporting Role,Heath Ledger,San Francisco Critics
2009,Actor - Supporting Role,Heath Ledger,Screen Actors Guild
2009,Actor - Supporting Role,Josh Brolin,New York Film Critics
2009,Actress - Leading Role,Anne Hathaway,Houston Critics
2009,Actress - Leading Role,Kate Winslet,Golden Globes-Drama
2009,Actress - Leading Role,Kate Winslet,Las Vegas Critics
2009,Actress - Leading Role,Marisa Tomel,Las Vegas Critics
2009,Actress - Leading Role,Meryl Streep,Critics Choice
2009,Actress - Leading Role,Meryl Streep,DC Film Critics
2009,Actress - Leading Role,Meryl Streep,Screen Actors Guild
2009,Actress - Leading Role,Sally Hawkins,Boston Film Critics
2009,Actress - Leading Role,Sally Hawkins,Golden Globes-Musical or Comedy
2009,Actress - Leading Role,Sally Hawkins,LA Film Critics
2009,Actress - Leading Role,Sally Hawkins,New York Film Critics
2009,Actress - Leading Role,Sally Hawkins,San Francisco Critics
2009,Actress - Supporting Role,Kate Winslet,Critics Choice
2009,Actress - Supporting Role,Kate Winslet,Golden Globes
2009,Actress - Supporting Role,Marisa Tomel,San Francisco Critics
2009,Actress - Supporting Role,Penelope Cruz,Boston Film Critics
2009,Actress - Supporting Role,Penelope Cruz,LA Film Critics
2009,Actress - Supporting Role,Penelope Cruz,New York Film Critics
2009,Actress - Supporting Role,Rosemarie DeWitt,DC Film Critics
2009,Actress - Supporting Role,Viola Davis,Houston Critics
2009,Animated Feature,Up,Producers Guild
2009,Animated Feature,WALL E,Critics Choice
2009,Animated Feature,WALL E,DC Film Critics
2009,Animated Feature,WALL E,Golden Globes
2009,Animated Feature,WALL E,Las Vegas Critics
2009,Animated Feature,WALL E,New York Film Critics
2009,Animated Feature,Walz with Bashir,LA Film Critics
2009,Best Picture,Frost/Nixon,Las Vegas Critics
2009,Best Picture,Milk,New York Film Critics
2009,Best Picture,Milk,New York Film Critics
2009,Best Picture,Milk,San Francisco Critics
2009,Best Picture,Slumdog Millionaire,Boston Film Critics
2009,Best Picture,Slumdog Millionaire,Critics Choice
2009,Best Picture,Slumdog Millionaire,DC Film Critics
2009,Best Picture,Slumdog Millionaire,Golden Globes-Drama
2009,Best Picture,Slumdog Millionaire,Producers Guild
2009,Best Picture,The Curious Case of Benjamin Button,Houston Critics
2009,Best Picture,Vicky Christina Barcelona,Golden Globes-Musical or Comedy
2009,Best Picture,WALL E,LA Film Critics
2009,Cinematography,Paranoid Park,Boston Film Critics
2009,Cinematography,Slumdog Millionaire,New York Film Critics
2009,Cinematography,Still Life,LA Film Critics
2009,Cinematography,The Curious Case of Benjamin Button,Houston Critics
2009,Cinematography,The Curious Case of Benjamin Button,Las Vegas Critics
2009,Costume Design,The Curious Case of Benjamin Button,Las Vegas Critics
2009,Director,Frost/Nixon,Las Vegas Critics
2009,Director,Happy Go Lucky,New York Film Critics
2009,Director,Milk,Boston Film Critics
2009,Director,Milk,San Francisco Critics
2009,Director,Slumdog Millionaire,Critics Choice
2009,Director,Slumdog Millionaire,DC Film Critics
2009,Director,Slumdog Millionaire,Directors Guild
2009,Director,Slumdog Millionaire,Golden Globes
2009,Director,Slumdog Millionaire,Houston Critics
2009,Director,Slumdog Millionaire,LA Film Critics
2009,Documentary,Man on Wire,Critics Choice
2009,Documentary,Man on Wire,DC Film Critics
2009,Documentary,Man on Wire,LA Film Critics
2009,Documentary,Man on Wire,Las Vegas Critics
2009,Documentary,Man on Wire,New York Film Critics
2009,Documentary,My Winnipeg,San Francisco Critics
2009,Documentary,Vals im Bashir,Directors Guild
2009,Film Editing,Frost/Nixon,Las Vegas Critics
