Year,Award,Name,Issuer
1998,Actress - Supporting Role,Kim Basinger,Golden Globes
1998,Actress - Supporting Role,Sarah Polley,Boston Film Critics
1998,Best Picture,As Good as it Gets,Golden Globes-Musical or Comedy
1998,Best Picture,LA Confidential,Boston Film Critics
1998,Best Picture,LA Confidential,Critics Choice
1998,Best Picture,LA Confidential,LA Film Critics
1998,Best Picture,LA Confidential,New York Film Critics
1998,Best Picture,LA Confidential,New York Film Critics
1998,Best Picture,Titanic,Golden Globes-Drama
1998,Best Picture,Titanic,Las Vegas Critics
1998,Best Picture,Titanic,Producers Guild
1998,Cinematography,Kundun,Boston Film Critics
1998,Cinematography,Kundun,New York Film Critics
1998,Cinematography,LA Confidential,LA Film Critics
1998,Cinematography,Titanic,Las Vegas Critics
1998,Director,LA Confidential,Boston Film Critics
1998,Director,LA Confidential,LA Film Critics
1998,Director,LA Confidential,New York Film Critics
1998,Director,Titanic,Critics Choice
1998,Director,Titanic,Directors Guild
1998,Director,Titanic,Golden Globes
1998,Director,Titanic,Las Vegas Critics
1998,Documentary,4 Little Girls,Critics Choice
1998,Documentary,Fast Cheap and Out of Control,New York Film Critics
1998,Documentary,Riding the Rails,Directors Guild
1998,Documentary,Riding the Rails,LA Film Critics
1998,Foreign Language Film,My Life in Pink,Golden Globes
1998,Foreign Language Film,Ponette,New York Film Critics
1998,Foreign Language Film,Shall We Dance,Critics Choice
1998,Foreign Language Film,Shall We Dance,Las Vegas Critics
1998,Foreign Language Film,The Promise,LA Film Critics
1998,Foreign Language Film,Underground,Boston Film Critics
1998,Production Design,Titanic,LA Film Critics
1998,Score,Kundun,LA Film Critics
1998,Score,Kundun,Las Vegas Critics
1998,Score,Titanic,Golden Globes
1998,Screenplay - Adapted,LA Confidential,Boston Film Critics
1998,Screenplay - Adapted,LA Confidential,Critics Choice
1998,Screenplay - Adapted,LA Confidential,LA Film Critics
1998,Screenplay - Adapted,LA Confidential,Las Vegas Critics
1998,Screenplay - Adapted,LA Confidential,New York Film Critics
1998,Screenplay - Adapted,LA Confidential,Writers Guild
1998,Screenplay - Original,As Good as it Gets,Writers Guild
1998,Screenplay - Original,Good Will Hunting,Critics Choice
1998,Screenplay - Original,Good Will Hunting,Golden Globes
1998,Song,My Heart Will Go On,Las Vegas Critics
1998,Z Filler Data,Z Filler Data,Z Filler Data
1999,AA Filler Data,AA Filler Data,AA Filler Data
1999,Actor - Leading Role,Brendan Gleeson,Boston Film Critics
1999,Actor - Leading Role,Ian McKellen,Critics Choice
1999,Actor - Leading Role,Ian McKellen,LA Film Critics
1999,Actor - Leading Role,Jim Carrey,Golden Globes-Drama
1999,Actor - Leading Role,Michael Caine,Golden Globes-Musical or Comedy
1999,Actor - Leading Role,Nick Nolte,New York Film Critics
1999,Actor - Leading Role,Roberto Benigni,Las Vegas Critics
1999,Actor - Leading Role,Roberto Benigni,Screen Actors Guild
1999,Actor - Supporting Role,Bill Murray,LA Film Critics
1999,Actor - Supporting Role,Bill Murray,New York Film Critics
1999,Actor - Supporting Role,Billy Bob Thorton,Boston Film Critics
1999,Actor - Supporting Role,Billy Bob Thorton,Critics Choice
1999,Actor - Supporting Role,Ed Harris,Golden Globes
1999,Actor - Supporting Role,Jason Patric,Las Vegas Critics
1999,Actor - Supporting Role,Robert Duball,Screen Actors Guild
1999,Actress - Leading Role,Ally Sheedy,LA Film Critics
1999,Actress - Leading Role,Cameron Diaz,New York Film Critics
1999,Actress - Leading Role,Cate Blanchett,Critics Choice
1999,Actress - Leading Role,Cate Blanchett,Golden Globes-Drama
1999,Actress - Leading Role,Gwyneth Paltrow,Golden Globes-Musical or Comedy
1999,Actress - Leading Role,Gwyneth Paltrow,Las Vegas Critics
1999,Actress - Leading Role,Gwyneth Paltrow,Screen Actors Guild
1999,Actress - Leading Role,Samantha Morton,Boston Film Critics
1999,Actress - Supporting Role,Joan Allen,Boston Film Critics
1999,Actress - Supporting Role,Joan Allen,Critics Choice
1999,Actress - Supporting Role,Joan Allen,LA Film Critics
1999,Actress - Supporting Role,Kathy Bates,Las Vegas Critics
1999,Actress - Supporting Role,Lisa Kudrow,New York Film Critics
1999,Actress - Supporting Role,Lynn Redgrave,Golden Globes
1999,Best Picture,Out of Sight,Boston Film Critics
1999,Best Picture,Saving Private Ryan,Critics Choice
1999,Best Picture,Saving Private Ryan,Golden Globes-Drama
1999,Best Picture,Saving Private Ryan,LA Film Critics
1999,Best Picture,Saving Private Ryan,New York Film Critics
1999,Best Picture,Saving Private Ryan,New York Film Critics
1999,Best Picture,Saving Private Ryan,Producers Guild
1999,Best Picture,Shakespeare in Love,Golden Globes-Musical or Comedy
1999,Cinematography,Saving Private Ryan,Boston Film Critics
1999,Cinematography,Saving Private Ryan,LA Film Critics
1999,Cinematography,Saving Private Ryan,Las Vegas Critics
1999,Cinematography,The Thin Red Line,New York Film Critics
1999,Director,Erin Brockovich,LA Film Critics
1999,Director,Saving Private Ryan,Critics Choice
1999,Director,Saving Private Ryan,Directors Guild
1999,Director,Saving Private Ryan,Golden Globes
1999,Director,Saving Private Ryan,LA Film Critics
1999,Director,Saving Private Ryan,Las Vegas Critics
1999,Director,The General,Boston Film Critics
1999,Director,The Thin Red Line,New York Film Critics
1999,Documentary,The Farm Angola USA,LA Film Critics
